Date,RollingSharpe_36M,RollingSharpe_1Y
2011-11-28,,
2011-11-29,,
2011-11-30,,
2011-12-01,,
2011-12-02,,
2011-12-05,,
2011-12-06,,
2011-12-07,,
2011-12-08,,
2011-12-09,,
2011-12-12,,
2011-12-13,,
2011-12-14,,
2011-12-15,,
2011-12-16,,
2011-12-19,,
2011-12-20,,
2011-12-21,,
2011-12-22,,
2011-12-23,,
2011-12-28,,
2011-12-29,,
2011-12-30,,
2012-01-03,,
2012-01-04,,
2012-01-05,,
2012-01-06,,
2012-01-09,,
2012-01-10,,
2012-01-11,,
2012-01-12,,
2012-01-13,,
2012-01-18,,
2012-01-19,,
2012-01-20,,
2012-01-23,,0.2635390254062171
2012-01-24,,0.2083744580521455
2012-01-25,,0.20478285917283603
2012-01-26,,0.20622875985109318
2012-01-27,,0.19025049914618453
2012-01-30,,0.15267813432797722
2012-01-31,,0.10733151317273648
2012-02-01,,0.1568810069813982
2012-02-02,,0.13575616830637766
2012-02-03,,0.27884286504798284
2012-02-06,,0.3240341029750459
2012-02-07,,0.3467281756962478
2012-02-08,,0.3333832018853789
2012-02-09,,0.36429361180463493
2012-02-10,,0.28492634169507597
2012-02-13,,0.2989443239443029
2012-02-14,,0.42278056795681396
2012-02-15,,0.40359506760678854
2012-02-16,,0.382665775154079
2012-02-17,,0.38379173213436385
2012-02-22,,0.386224076164872
2012-02-23,,0.37684261473796404
2012-02-24,,0.32541422224972105
2012-02-27,,0.29730424530625976
2012-02-28,,0.3643880026587459
2012-02-29,,0.34133954035030134
2012-03-01,,0.37954036166470423
2012-03-02,,0.33877396437269297
2012-03-05,,0.3151128816497499
2012-03-06,,0.22550256834968296
2012-03-07,,0.2609471217345615
2012-03-08,,0.32012458490440365
2012-03-09,,0.36631216652998766
2012-03-12,,0.3799301136717348
2012-03-13,,0.3996414378957929
2012-03-14,,0.3961160457875907
2012-03-15,,0.48349547607109544
2012-03-16,,0.48069548529683676
2012-03-19,,0.4261104330598501
2012-03-20,,0.49424701166712404
2012-03-21,,0.527821599527206
2012-03-22,,0.48311312170939397
2012-03-23,,0.5047793309603912
2012-03-26,,0.6392906096182197
2012-03-27,,0.6322349463417595
2012-03-28,,0.6107011914336277
2012-03-29,,0.6484324822339232
2012-03-30,,0.7559495136890108
2012-04-02,,0.756520354083382
2012-04-03,,0.7220125568905761
2012-04-04,,0.5845207800683345
2012-04-05,,0.5951341834136288
2012-04-10,,0.45564203782445856
2012-04-11,,0.42814704810251236
2012-04-12,,0.483797181670887
2012-04-13,,0.4277901124440227
2012-04-16,,0.3797266416351986
2012-04-17,,0.4508816343462033
2012-04-18,,0.4789428507966868
2012-04-19,,0.4086485304374519
2012-04-20,,0.4500460822140921
2012-04-23,,0.40963235735483766
2012-04-24,,0.3683863606972285
2012-04-25,,0.447088868284545
2012-04-26,,0.4683831956204773
2012-04-27,,0.4866844663851703
2012-04-30,,0.5084959573991721
2012-05-03,,0.46169783890345995
2012-05-04,,0.36505084092004153
2012-05-08,,0.3616898676879251
2012-05-09,,0.4053183333427443
2012-05-10,,0.4004525402863312
2012-05-11,,0.28815184292584495
2012-05-14,,0.19474480978706107
2012-05-15,,0.12154241918625444
2012-05-16,,0.12217057980418689
2012-05-17,,0.023804102835684505
2012-05-18,,-0.0409494244213381
2012-05-21,,0.10310457401428948
2012-05-22,,0.10858044789013845
2012-05-23,,0.11008841265415835
2012-05-24,,0.09066187390027391
2012-05-25,,0.0918626396992954
2012-05-29,,0.10092200583823215
2012-05-30,,0.09760995252315234
2012-05-31,,0.06530752539764619
2012-06-01,,-0.005467853444790367
2012-06-06,,0.20236781742695112
2012-06-07,,0.19936478043250266
2012-06-08,,0.1807348001115504
2012-06-11,,0.12041656959335871
2012-06-12,,0.1758596049627317
2012-06-13,,0.20062115582919168
2012-06-14,,0.2179416687055287
2012-06-15,,0.22462725752586485
2012-06-18,,0.23877357127132834
2012-06-19,,0.22975348717309302
2012-06-20,,0.17774570156328728
2012-06-21,,0.1564189910496753
2012-06-22,,0.18495638517729654
2012-06-25,,0.13726048891964623
2012-06-26,,0.19191077154463412
2012-06-27,,0.2246400435371005
2012-06-28,,0.23243532685763105
2012-06-29,,0.3054820531883861
2012-07-02,,0.38746312509904773
2012-07-03,,0.4284926654692577
2012-07-06,,0.3323307972962545
2012-07-09,,0.39230263818776506
2012-07-10,,0.384068994941555
2012-07-11,,0.3825741787857387
2012-07-12,,0.33441665365090795
2012-07-13,,0.31029697418972974
2012-07-16,,0.32783677288623725
2012-07-17,,0.3238743821425357
2012-07-18,,0.4057693405515311
2012-07-19,,0.4146191833461243
2012-07-20,,0.31833178289651143
2012-07-23,,0.2366621277702568
2012-07-24,,0.13630224122489398
2012-07-25,,0.05997750816153707
2012-07-26,,0.12461516375027298
2012-07-27,,0.1372490409175542
2012-07-30,,0.15858007990159406
2012-07-31,,0.22591375427040425
2012-08-01,,0.24782366870865022
2012-08-02,,0.19940745613768468
2012-08-03,,0.32485949614123655
2012-08-06,,0.26214403980017675
2012-08-07,,0.3467497430639816
2012-08-08,,0.2730479402110176
2012-08-09,,0.30907377532076624
2012-08-10,,0.2731267440248244
2012-08-13,,0.25627085007090816
2012-08-14,,0.25387688470631015
2012-08-15,,0.248114310322458
2012-08-16,,0.36250827388636875
2012-08-17,,0.2985384413451281
2012-08-20,,0.3336279032469719
2012-08-21,,0.3392072183441947
2012-08-22,,0.43125072439866785
2012-08-23,,0.4108954536819229
2012-08-24,,0.6117553949920902
2012-08-28,,0.6786012068568862
2012-08-29,,0.994066304956092
2012-08-30,,0.7508804499291672
2012-08-31,,0.9360428602728148
2012-09-05,,0.7619518696992477
2012-09-06,,0.8045411490511291
2012-09-07,,0.7504338886009779
2012-09-10,,0.7732206879943437
2012-09-11,,0.7845324211696721
2012-09-12,,1.0299500026708595
2012-09-13,,1.1462639519622038
2012-09-14,,1.214768387410601
2012-09-17,,1.0622758706374573
2012-09-18,,1.0317984604759
2012-09-19,,1.1297848954682508
2012-09-20,,1.0429597836984823
2012-09-21,,0.8949048295283384
2012-09-24,,0.8068246918991656
2012-09-25,,0.8100831634059475
2012-09-26,,0.8690976893514811
2012-09-27,,0.743522522591293
2012-09-28,,0.704616249667252
2012-10-01,,0.8225723006810037
2012-10-02,,0.8125511408257473
2012-10-05,,0.7586128135068948
2012-10-08,,0.662774246817292
2012-10-09,,0.49719347045180134
2012-10-10,,0.44096506667636826
2012-10-11,,0.480590354234232
2012-10-12,,0.44722830102797223
2012-10-15,,0.5808876500924339
2012-10-16,,0.8590197960437941
2012-10-17,,0.8169216184555276
2012-10-18,,0.6750996507833789
2012-10-19,,0.3909345958155141
2012-10-22,,0.48769927741019686
2012-10-23,,0.42792762845206367
2012-10-24,,0.5586149639773644
2012-10-25,,0.43230838095973273
2012-10-26,,0.3576346079682426
2012-11-01,,0.4936320878725375
2012-11-02,,0.27059521690272215
2012-11-05,,0.2901405888768343
2012-11-06,,0.267667687956813
2012-11-07,,0.11902065156032615
2012-11-08,,-0.04246938514477256
2012-11-09,,0.06665060610188371
2012-11-12,,0.007855874673184259
2012-11-13,,0.08876242150229444
2012-11-14,,0.04280887957400785
2012-11-15,,-0.03304767811884387
2012-11-16,,-0.1549736045133652
2012-11-19,,0.07266984276814976
2012-11-20,,0.03684734091279581
2012-11-21,,-0.11571608425248278
2012-11-26,,-0.06654644954519037
2012-11-27,,0.029607324459658073
2012-11-28,,0.2309043322724002
2012-11-29,,0.1880484977013433
2012-11-30,,0.07702582807499053
2012-12-03,,0.07131909041886211
2012-12-04,,0.042336549937658056
2012-12-05,,-0.03751347113515473
2012-12-06,,0.23933856490922764
2012-12-07,,0.21567702230605268
2012-12-10,,0.10757068606956527
2012-12-11,,0.21135226461282397
2012-12-12,,0.18503401562462135
2012-12-13,,0.23320908717702277
2012-12-14,,0.2947477587393822
2012-12-17,,0.3240976857361903
2012-12-18,,0.5425228759159686
2012-12-19,,0.5683014105860023
2012-12-20,,0.679722116222557
2012-12-21,,0.4696221164205032
2012-12-28,,0.4261432327417631
2013-01-03,,0.1858776380603378
2013-01-04,,0.24761443881993045
2013-01-07,,0.22293662875640674
2013-01-08,,0.16587932824355453
2013-01-09,,0.21759590919559402
2013-01-10,,0.25276784480524994
2013-01-11,,0.367018187278736
2013-01-14,,0.27889144880027145
2013-01-15,,0.380571892442077
2013-01-16,,0.38560034987568914
2013-01-17,,0.5085894677471803
2013-01-18,,0.5003479732751042
2013-01-23,,0.5592102286498227
2013-01-24,,0.5425057106378556
2013-01-25,,0.3838722352194627
2013-01-28,,0.45853125655521676
2013-01-29,,0.4368839077399178
2013-01-30,,0.347950519365968
2013-01-31,,0.37149033799593006
2013-02-01,,0.40996018501158277
2013-02-04,,0.31462457730479115
2013-02-05,,0.219049608706817
2013-02-06,,0.20006483375194495
2013-02-07,,0.12174027925197155
2013-02-08,,0.15610003659519275
2013-02-11,,0.22030633738476918
2013-02-12,,0.16155517828484328
2013-02-13,,0.23571388217797143
2013-02-14,,0.192534937520062
2013-02-15,,0.22054247464062354
2013-02-20,,0.09775112521982701
2013-02-21,,-0.025756593974896703
2013-02-22,,0.07359606672294752
2013-02-25,,-0.03775166234784574
2013-02-26,,0.009193551153426635
2013-02-27,,0.0381189589523611
2013-02-28,,0.01952921308383636
2013-03-01,,0.03704090615179849
2013-03-04,,0.07653362039930767
2013-03-05,,0.1318352068503081
2013-03-06,,0.08812815505963983
2013-03-07,,0.08274396908077014
2013-03-08,,0.0073079143976815765
2013-03-11,,0.05359876205284793
2013-03-12,,0.020092955922524754
2013-03-13,,-0.021836768737046427
2013-03-14,,-0.023475533989171144
2013-03-15,,0.01873351752565642
2013-03-18,,-0.04314712412224483
2013-03-19,,-0.08188535789464978
2013-03-20,,-0.03418107426418646
2013-03-21,,-0.19276024648772955
2013-03-22,,-0.17490049241576563
2013-03-25,,-0.15763762032164577
2013-03-26,,-0.13615264615485032
2013-03-27,,-0.1451628050518924
2013-03-28,,-0.12424662188651692
2013-04-02,,-0.19878214947624884
2013-04-03,,-0.19776341888770166
2013-04-04,,-0.2646361327781907
2013-04-05,,-0.2857052039211222
2013-04-08,,-0.17920457477098034
2013-04-09,,-0.03140032013173844
2013-04-10,,0.0024038237344643112
2013-04-11,,-0.11863643893214385
2013-04-12,,-0.1532426636795094
2013-04-15,,-0.28661217840967135
2013-04-16,,-0.35749884083327554
2013-04-17,,-0.500563462132519
2013-04-18,,-0.6222181734305104
2013-04-19,,-0.4946114296550508
2013-04-22,,-0.436456716652012
2013-04-23,,-0.32679892867674737
2013-04-24,,-0.23868031103942017
2013-04-25,,-0.19441497499011176
2013-04-26,,-0.21123028942542108
2013-04-29,,-0.19119617486883297
2013-04-30,,-0.15513947680763493
2013-05-03,,-0.02880863595266261
2013-05-07,,0.023289564596510475
2013-05-08,,0.07922265879200399
2013-05-09,,-0.007306515860238189
2013-05-10,,0.051635713516710785
2013-05-13,,0.18340031279860253
2013-05-14,,0.2223248492345292
2013-05-15,,0.4075142751310525
2013-05-16,,0.3683190766036107
2013-05-17,,0.3526350071260141
2013-05-20,,0.4733761721472993
2013-05-21,,0.5202853145576046
2013-05-22,,0.3922812465221759
2013-05-23,,0.32928223454203104
2013-05-24,,0.3592064216664897
2013-05-28,,0.40266205815141376
2013-05-29,,0.4371976598108507
2013-05-30,,0.483094731727212
2013-05-31,,0.31383906131675376
2013-06-03,,0.2561593311652096
2013-06-04,,0.24644202543139057
2013-06-05,,0.20666372551525933
2013-06-06,,0.2399922317158395
2013-06-07,,0.5132701407584486
2013-06-10,,0.5379038433689584
2013-06-11,,0.5028781328582981
2013-06-12,,0.45626195684705345
2013-06-13,,0.48035782592899795
2013-06-14,,0.5896441397630255
2013-06-17,,0.6797100457346797
2013-06-18,,0.7094534203375993
2013-06-19,,0.7465932482489769
2013-06-20,,0.720026977597122
2013-06-21,,0.5891109287715662
2013-06-24,,0.5136072220151219
2013-06-25,,0.6439161630215152
2013-06-26,,0.693924859800426
2013-06-27,,0.7333841557696213
2013-06-28,,0.6464477618766111
2013-07-01,,0.8031382261350671
2013-07-02,,0.8450572134470691
2013-07-03,,1.0429444261286998
2013-07-08,,0.818537037745811
2013-07-09,,0.8951042623500952
2013-07-10,,0.8781272607038225
2013-07-11,,1.0866712261002254
2013-07-12,,1.0613197659703
2013-07-15,,1.1405625109446484
2013-07-16,,1.1105181823972476
2013-07-17,,1.0695611983931042
2013-07-18,,0.9832272337372575
2013-07-19,,0.72090983682624
2013-07-22,,0.743645002745135
2013-07-23,,0.8991780980971773
2013-07-24,,0.9187835446814661
2013-07-25,,1.0494269029110375
2013-07-26,,1.0044923682158493
2013-07-29,,0.9754906244006719
2013-07-30,,1.0806554219748141
2013-07-31,,0.9646562788273452
2013-08-01,,0.9692914000485624
2013-08-02,,0.9366191253684689
2013-08-05,,1.0204312255595596
2013-08-06,,0.9682503682488588
2013-08-07,,0.9694642169815298
2013-08-08,,1.0843615216355234
2013-08-09,,1.1643323100858969
2013-08-12,,1.093937942353957
2013-08-13,,1.1959742717180446
2013-08-14,,1.1791812895194485
2013-08-15,,1.0142325443921398
2013-08-16,,0.9344068412191208
2013-08-19,,1.0167527632131297
2013-08-20,,1.1177184332840673
2013-08-21,,1.161379912436294
2013-08-22,,1.2315110008982082
2013-08-23,,1.166332563584542
2013-08-27,,0.9011605655107082
2013-08-28,,0.894641396009737
2013-08-29,,0.9418670005540086
2013-08-30,,0.8932937029345632
2013-09-04,,0.9571676614278936
2013-09-05,,0.7845802743716621
2013-09-06,,0.7758489920933986
2013-09-09,,0.7780874021103358
2013-09-10,,0.8512971406834512
2013-09-11,,0.7716918914287433
2013-09-12,,0.7220268735735724
2013-09-13,,0.716953741942135
2013-09-16,,0.7113286048093652
2013-09-17,,0.6850487844289453
2013-09-18,,0.678852444603927
2013-09-19,,0.8192030212965136
2013-09-20,,0.7949696438683611
2013-09-23,,0.7623261785053087
2013-09-24,,0.7731438874136266
2013-09-25,,0.7896823233406859
2013-09-26,,0.8208050109944313
2013-09-27,,0.8010912786873331
2013-09-30,,0.7173069529896151
2013-10-01,,0.8418607989485806
2013-10-02,,0.8082039166058831
2013-10-07,,0.7494189360533252
2013-10-08,,0.511466963983198
2013-10-09,,0.4965084667232293
2013-10-10,,0.6865998085667396
2013-10-11,,0.7264384906470379
2013-10-14,,0.8013513347363845
2013-10-15,,0.7345561631568673
2013-10-16,,0.7004567334763706
2013-10-17,,0.7857550952952569
2013-10-18,,0.9257703724651739
2013-10-21,,0.9679849128325936
2013-10-22,,1.017676823633026
2013-10-23,,0.9907961905961596
2013-10-24,,1.0838866940720104
2013-10-25,,1.2250973380017052
2013-10-28,,1.3059438785038742
2013-10-29,,1.2882593646380895
2013-10-30,,1.3806318361633272
2013-10-31,,1.294699632140964
2013-11-01,,1.3004802727357694
2013-11-04,,1.3285763452851722
2013-11-05,,1.4794879475392848
2013-11-06,,1.6304594779280568
2013-11-07,,1.6038238950785597
2013-11-08,,1.6413312727646014
2013-11-11,,1.6921689025153064
2013-11-12,,1.6549574983181745
2013-11-13,,1.5797462704101506
2013-11-14,,1.5755688947307547
2013-11-15,,1.6623847297340701
2013-11-18,,1.9649964747696982
2013-11-19,,1.9093207727486872
2013-11-20,,1.9709465967460293
2013-11-21,,2.0509681737457535
2013-11-22,,2.1129639372903988
2013-11-25,,2.1054848037747846
2013-11-26,,1.9421297040250676
2013-11-27,,2.072370366157301
2013-12-02,,2.012498222089464
2013-12-03,,1.9447457184985408
2013-12-04,,2.2145209495521323
2013-12-05,,2.2813554475763262
2013-12-06,,2.286404459989449
2013-12-09,,2.3214479700100656
2013-12-10,,2.3632274643699884
2013-12-11,,2.444985573752972
2013-12-12,,2.4052945048257826
2013-12-13,,2.391941692007291
2013-12-16,,2.290132982861464
2013-12-17,,2.2183948024836675
2013-12-18,,2.2179814091977463
2013-12-19,,2.177013880788715
2013-12-20,,2.233040550310326
2013-12-23,,2.220010425633858
2013-12-30,,2.1702634488222268
2014-01-03,,2.152356325166657
2014-01-06,,2.1939477027452705
2014-01-07,,2.2274171181478812
2014-01-08,,2.2661608296292672
2014-01-09,,2.2052071658152412
2014-01-10,,2.2956022103582607
2014-01-13,,2.240028433490203
2014-01-14,,2.2611332640872823
2014-01-15,,2.312250696480574
2014-01-16,,2.294357288367806
2014-01-17,,2.3514178331700775
2014-01-22,,2.329728828309398
2014-01-23,,2.1468877671728666
2014-01-24,,1.99140946439134
2014-01-27,,1.938506265486509
2014-01-28,,1.9702312551139223
2014-01-29,,2.0284096447573083
2014-01-30,,2.1041187556462004
2014-01-31,,2.0909611396662466
2014-02-03,,1.914686455470745
2014-02-04,,1.9184630203373971
2014-02-05,,1.85521577551378
2014-02-06,,1.8815379778030938
2014-02-07,,1.9399774770707026
2014-02-10,,2.0127406002364108
2014-02-11,,2.097871362966022
2014-02-12,,2.1413948572131494
2014-02-13,,2.156452470964911
2014-02-14,,2.2021818841488474
2014-02-19,,2.0495937284080377
2014-02-20,,2.233865418575939
2014-02-21,,2.198463199412556
2014-02-24,,2.143275743772476
2014-02-25,,2.0719293615467946
2014-02-26,,2.1263809003525393
2014-02-27,,2.22295750762214
2014-02-28,,2.1383192909180995
2014-03-03,,2.247381665730785
2014-03-04,,2.281156016391852
2014-03-05,,2.2842445598033763
2014-03-06,,2.3721947449427785
2014-03-07,,2.251855322760643
2014-03-10,,2.2049780288944705
2014-03-11,,2.2528880003634115
2014-03-12,,2.1862654921754174
2014-03-13,,2.09452756968424
2014-03-14,,2.029165012416744
2014-03-17,,2.1654983698905976
2014-03-18,,2.3307927499193455
2014-03-19,,2.194983223179016
2014-03-20,0.6290562296120926,2.329233047329636
2014-03-21,0.6178158375862194,2.3223964040813154
2014-03-24,0.5865043824912853,2.1610159848179045
2014-03-25,0.5887803320664642,2.1941035629749277
2014-03-26,0.5636015123688818,2.0792511916815752
2014-03-27,0.5411111698216857,1.994939834204769
2014-03-28,0.5241817639158768,1.9393825875495017
2014-03-31,0.5349286128534377,1.9497315006932103
2014-04-01,0.5352549820850854,1.9945171332487417
2014-04-02,0.5641945155209588,1.946910853644678
2014-04-03,0.5811329218048246,1.8695427128055777
2014-04-04,0.5681994068826577,1.8067683490596784
2014-04-07,0.5140439369831179,1.6338984145260964
2014-04-08,0.5104532391385054,1.5627867175254706
2014-04-09,0.5137196677881367,1.6701426131259467
2014-04-10,0.47194126058486546,1.5282335484540313
2014-04-11,0.49726361787819645,1.4465241284255246
2014-04-14,0.5065192574339132,1.4597847328136984
2014-04-15,0.4693968093756263,1.5432836141708697
2014-04-16,0.49165356438542934,1.6088466943484196
2014-04-17,0.5068744086519373,1.6462910915120774
2014-04-22,0.5133585025571564,1.662913871549163
2014-04-23,0.48931506032770916,1.6666583052634742
2014-04-24,0.5040501364479479,1.7473560045273115
2014-04-25,0.5028066662356022,1.710765032753023
2014-04-28,0.525864518195652,1.852693197258173
2014-04-29,0.5341250713096305,1.8987815326941315
2014-04-30,0.5272481895704834,1.9785148391599787
2014-05-06,0.5187310112296798,1.8390660246650647
2014-05-07,0.5082258558965186,1.774237093263256
2014-05-08,0.5053030996293737,1.6685830660333794
2014-05-09,0.5110013806344468,1.7408955770510546
2014-05-12,0.5487150610421055,1.8537322561922795
2014-05-13,0.5510247744600328,2.030935278452245
2014-05-14,0.518394303595578,1.9410129894552512
2014-05-15,0.49028476002635857,2.037624343969774
2014-05-16,0.5234886253588508,2.1911128096147023
2014-05-19,0.5416921873549849,2.1267738234321336
2014-05-20,0.49754578579680686,1.9659660546221611
2014-05-21,0.5484849733775876,1.9201646936412504
2014-05-22,0.5792929935984722,1.8776300143998284
2014-05-23,0.5765724044634497,1.8908502977604231
2014-05-27,0.5974687473807262,1.9636484982920568
2014-05-28,0.633510045494347,1.8483914846305076
2014-05-29,0.6452021097900569,1.864183347987127
2014-05-30,0.6488732063442381,1.760263387490501
2014-06-02,0.6805289543939448,1.755873246720802
2014-06-03,0.7201474057233622,1.6493800254714739
2014-06-04,0.7040490353946054,1.6946547558671792
2014-06-05,0.7026580228538463,1.6741989689249432
2014-06-06,0.6816798265829753,1.6620912373954781
2014-06-09,0.6798484253331312,1.583240930555473
2014-06-10,0.6681175651861218,1.5477081495424598
2014-06-11,0.642604504934143,1.5394630512785243
2014-06-12,0.6241129939870044,1.3719187212029125
2014-06-13,0.6251877166403047,1.3228355585457778
2014-06-16,0.6076218175178385,1.2740030881588404
2014-06-17,0.6119062620219741,1.3284125629029666
2014-06-18,0.6337115004674426,1.4604600832409094
2014-06-19,0.6178927371764483,1.4876197302122893
2014-06-20,0.6286382179375632,1.3994549334018307
2014-06-23,0.6354523175912004,1.4657218698345855
2014-06-24,0.6126332865390063,1.3795174282775045
2014-06-25,0.61732077915288,1.4785933579144375
2014-06-26,0.6092702805583006,1.477923960412224
2014-06-27,0.6294984853560613,1.5459712727558146
2014-06-30,0.6504383488170035,1.6612684433137166
2014-07-01,0.665628637392361,1.776457477180299
2014-07-02,0.6686678613426341,1.6300142182233601
2014-07-03,0.688675409237215,1.6943243480164543
2014-07-08,0.7087603437598591,1.7493112256111463
2014-07-09,0.6978405902323839,1.7748123571414143
2014-07-10,0.6332105730033762,1.6635424131614556
2014-07-11,0.6425236154720968,1.7521908364405345
2014-07-14,0.6252910904579727,1.7005159550522875
2014-07-15,0.614438634618048,1.6089037476055426
2014-07-16,0.6237406871738689,1.814486034129861
2014-07-17,0.6152880788048296,1.9803717163576497
2014-07-18,0.6563901557560405,2.056535650522688
2014-07-21,0.654609450246398,2.1569625605930556
2014-07-22,0.6827995374217912,2.109018445933325
2014-07-23,0.6711542383201223,2.027890779529386
2014-07-24,0.6619381176639292,1.9264981566217678
2014-07-25,0.6284291596188236,1.8685259024688374
2014-07-28,0.6476270148247908,1.7489069666963541
2014-07-29,0.6453470331340146,1.749100904754951
2014-07-30,0.6618454704377104,1.718989931078825
2014-07-31,0.6464282247102838,1.5183647416046382
2014-08-01,0.6405908663891566,1.3968381102611456
2014-08-04,0.6305903490862897,1.411444047736781
2014-08-05,0.6183813409730679,1.2119562785922422
2014-08-06,0.6298398464604705,1.1800124375680663
2014-08-07,0.6437516618038832,1.0833197596987332
2014-08-08,0.6544313307342684,1.1368992499864077
2014-08-11,0.6593639671432223,1.2005752703413046
2014-08-12,0.6471482645370799,1.2306625384233496
2014-08-13,0.624564511961045,1.5139403573462116
2014-08-14,0.6064590591609706,1.5078778170559255
2014-08-15,0.6473418661397662,1.5474204718427402
2014-08-18,0.669998596038198,1.565123871527386
2014-08-19,0.7035144709243234,1.6674381000510392
2014-08-20,0.7092964324597074,1.6338070047157256
2014-08-21,0.7194576338355615,1.6497500183312022
2014-08-22,0.734875359724571,1.5688865781086794
2014-08-26,0.7209949156895078,1.50854462939008
2014-08-27,0.7595827433105962,1.502899165552992
2014-08-28,0.7643949390354196,1.4796960150030345
2014-08-29,0.7549662770538891,1.5398175199130424
2014-09-03,0.7739297148969793,1.5646092542780752
2014-09-04,0.7894227429805708,1.6567601532165082
2014-09-05,0.8123948134269393,1.620485040703862
2014-09-08,0.8135388154997453,1.6306635455487581
2014-09-09,0.7679854234870586,1.5575498552758094
2014-09-10,0.7885131072647689,1.4852499445182699
2014-09-11,0.7815852280930994,1.4829554145745263
2014-09-12,0.7955099550320825,1.5937346183725842
2014-09-15,0.7644557429764515,1.5302007855936146
2014-09-16,0.7513655637515319,1.5745954342649242
2014-09-17,0.7403060014292566,1.5760563367472888
2014-09-18,0.7203980767899271,1.6476634873455838
2014-09-19,0.698760079835393,1.6187242272752915
2014-09-22,0.6771202377535334,1.4553686697382346
2014-09-23,0.6400008387996643,1.6167130412301003
2014-09-24,0.6679552763177283,1.709433350755613
2014-09-25,0.6608812313836074,1.4353122642582794
2014-09-26,0.6809444390026845,1.5467158443460354
2014-09-29,0.6726012423923782,1.5324594631265145
