Date,RollingSharpe_36M,RollingSharpe_1Y
2024-02-13,,
2024-02-14,,
2024-02-15,,
2024-02-16,,
2024-02-21,,
2024-02-22,,
2024-02-23,,
2024-02-26,,
2024-02-27,,
2024-02-28,,
2024-02-29,,
2024-03-01,,
2024-03-04,,
2024-03-05,,
2024-03-06,,
2024-03-07,,
2024-03-08,,
2024-03-11,,
2024-03-12,,
2024-03-13,,
2024-03-14,,
2024-03-15,,
2024-03-18,,
2024-03-19,,
2024-03-20,,
2024-03-21,,
2024-03-22,,
2024-03-25,,
2024-03-26,,
2024-03-27,,
2024-03-28,,
2024-04-02,,
2024-04-03,,
2024-04-04,,
2024-04-05,,
2024-04-08,,
2024-04-09,,
2024-04-10,,
2024-04-11,,
2024-04-12,,
2024-04-15,,
2024-04-16,,
2024-04-17,,
2024-04-18,,
2024-04-19,,
2024-04-22,,
2024-04-23,,
2024-04-24,,
2024-04-25,,
2024-04-26,,
2024-04-29,,
2024-04-30,,
2024-05-03,,
2024-05-07,,
2024-05-08,,
2024-05-09,,
2024-05-10,,
2024-05-13,,
2024-05-14,,
2024-05-15,,
2024-05-16,,
2024-05-17,,
2024-05-20,,
2024-05-21,,
2024-05-22,,
2024-05-23,,
2024-05-24,,
2024-05-28,,
2024-05-29,,
2024-05-30,,
2024-05-31,,
2024-06-03,,
2024-06-04,,
2024-06-05,,
2024-06-06,,
2024-06-07,,
2024-06-10,,
2024-06-11,,
2024-06-12,,
2024-06-13,,
2024-06-14,,
2024-06-17,,
2024-06-18,,
2024-06-21,,
2024-06-24,,
2024-06-25,,
2024-06-26,,
2024-06-27,,
2024-06-28,,
2024-07-01,,
2024-07-02,,
2024-07-03,,
2024-07-08,,
2024-07-09,,
2024-07-10,,
2024-07-11,,
2024-07-12,,
2024-07-15,,
2024-07-16,,
2024-07-17,,
2024-07-18,,
2024-07-19,,
2024-07-22,,
2024-07-23,,
2024-07-24,,
2024-07-25,,
2024-07-26,,
2024-07-29,,
2024-07-30,,
2024-07-31,,
2024-08-01,,
2024-08-02,,
2024-08-05,,
2024-08-06,,
2024-08-07,,
2024-08-08,,
2024-08-09,,
2024-08-12,,
2024-08-13,,
2024-08-14,,
2024-08-15,,
2024-08-16,,
2024-08-19,,
2024-08-20,,
2024-08-21,,
2024-08-22,,
2024-08-23,,
2024-08-27,,
2024-08-28,,
2024-08-29,,
2024-08-30,,
2024-09-04,,
2024-09-05,,
2024-09-06,,
2024-09-09,,
2024-09-10,,
2024-09-11,,
2024-09-12,,
2024-09-13,,
2024-09-16,,
2024-09-17,,
2024-09-18,,
2024-09-19,,
2024-09-20,,
2024-09-23,,
2024-09-24,,
2024-09-25,,
2024-09-26,,
2024-09-27,,
2024-09-30,,
2024-10-01,,
2024-10-02,,
2024-10-03,,
2024-10-04,,
2024-10-07,,
2024-10-08,,
2024-10-09,,
2024-10-10,,
2024-10-11,,
2024-10-14,,
2024-10-15,,
2024-10-16,,
2024-10-17,,
2024-10-18,,
2024-10-21,,
2024-10-22,,
2024-10-23,,
2024-10-24,,
2024-10-25,,
2024-10-28,,
2024-10-29,,
2024-10-30,,
2024-10-31,,
2024-11-01,,
2024-11-04,,
2024-11-05,,
2024-11-06,,
2024-11-07,,
2024-11-08,,
2024-11-11,,
2024-11-12,,
2024-11-13,,
2024-11-14,,
2024-11-15,,
2024-11-18,,
2024-11-19,,
2024-11-20,,
2024-11-21,,
2024-11-22,,
2024-11-25,,
2024-11-26,,
2024-11-27,,
2024-12-02,,
2024-12-03,,
2024-12-04,,
2024-12-05,,
2024-12-06,,
2024-12-09,,
2024-12-10,,
2024-12-11,,
2024-12-12,,
2024-12-13,,
2024-12-16,,
2024-12-17,,
2024-12-18,,
2024-12-19,,
2024-12-20,,
2024-12-23,,
2024-12-30,,
2025-01-03,,
2025-01-06,,
2025-01-07,,
2025-01-08,,
2025-01-13,,
2025-01-14,,
2025-01-15,,
2025-01-16,,
2025-01-17,,
2025-01-22,,
2025-01-23,,
2025-01-24,,
2025-01-27,,
2025-01-28,,
2025-01-29,,
2025-01-30,,
2025-01-31,,
2025-02-03,,
2025-02-04,,
2025-02-05,,
2025-02-06,,
2025-02-07,,
2025-02-10,,
2025-02-11,,
2025-02-12,,
2025-02-13,,
2025-02-14,,
2025-02-19,,
2025-02-20,,
2025-02-21,,
2025-02-24,,
2025-02-25,,
2025-02-26,,
2025-02-27,,
2025-02-28,,
2025-03-03,,
2025-03-04,,
2025-03-05,,
2025-03-06,,
2025-03-07,,
2025-03-10,,
2025-03-11,,
2025-03-12,,0.16331411911837468
2025-03-13,,0.1809602332310991
2025-03-14,,0.28093256249581083
2025-03-17,,0.30286257810446254
2025-03-18,,0.27967431785284763
2025-03-19,,0.3501157250346932
2025-03-20,,0.18291764409835018
2025-03-21,,0.22910151167753215
2025-03-24,,0.3107892908055834
2025-03-25,,0.336640376487839
2025-03-26,,0.2730631179636129
2025-03-27,,0.22742052098855042
2025-03-28,,0.03036547433232755
2025-03-31,,-0.024795279718786447
2025-04-01,,0.21911570306317452
2025-04-02,,0.2718879272036865
2025-04-03,,-0.04847069263764735
2025-04-04,,-0.27335646807366004
2025-04-07,,-0.3232213999693167
2025-04-08,,-0.3813428924416051
2025-04-09,,0.006665552035183665
2025-04-10,,-0.08222049274349745
2025-04-11,,0.060404387651826
2025-04-14,,0.11598221181155972
2025-04-15,,0.06423868233748728
2025-04-16,,-0.11991323623320527
2025-04-17,,-0.1921269099087327
2025-04-22,,-0.18716424358790346
2025-04-23,,-0.008885087667553216
2025-04-24,,0.1533589022243473
2025-04-25,,0.20129722267288494
2025-04-28,,0.20068189127974556
2025-04-29,,0.2813944558560917
2025-04-30,,0.2814368793118453
2025-05-06,,0.2472997793283958
2025-05-07,,0.1951995656138832
2025-05-08,,0.23851426678521664
2025-05-09,,0.25316505438416687
2025-05-12,,0.4269395547600208
2025-05-13,,0.39285626471406965
2025-05-14,,0.45345690504411607
2025-05-15,,0.5187095249707807
2025-05-16,,0.5591621985031319
2025-05-19,,0.5884083868451182
2025-05-20,,0.6348939052296355
2025-05-21,,0.6586672601240702
2025-05-22,,0.6301673302301422
2025-05-23,,0.4489573316047321
2025-05-27,,0.5347465135156798
2025-05-28,,0.5418370699408426
2025-05-29,,0.4443120253699495
2025-05-30,,0.4343948263942332
2025-06-02,,0.534032809797355
2025-06-03,,0.4665011845266169
2025-06-04,,0.4347124900834786
2025-06-05,,0.45617877762634207
2025-06-06,,0.4931082933297935
2025-06-09,,0.46335758798323673
2025-06-10,,0.4545351259089582
2025-06-11,,0.44323091830718936
2025-06-12,,0.39436979009039236
2025-06-13,,0.36471290245121785
